review_id,platform,country,date,star_rating,title,text,user_name,app_version,is_crypto,is_trust_concern,is_fx,is_relevant,matched_crypto,matched_trust,matched_fx
13953484804,app_store,gb,2026-04-13T05:51:11-07:00,5,Great!!,Great exchange rates and flexible!!,S33ntrino,10.125,False,False,True,True,,,exchange rates
13953125682,app_store,gb,2026-04-13T03:34:17-07:00,5,Crypto,"It’s nice to have crypto, normal cash spending money abroad everything in one place",CJmomin,10.125,True,False,False,True,crypto,,
13953083077,app_store,gb,2026-04-13T03:15:18-07:00,5,Love the app,Super easy for international payments and sending money to friends,ProductGirl92,10.125,False,False,True,True,,,international payments
13952862719,app_store,gb,2026-04-13T01:27:01-07:00,5,Reliability,I can buy crypto currency and is safe and secured.,NNAMDINHO1,10.124,True,False,False,True,crypto,,
13952599692,app_store,gb,2026-04-12T23:04:45-07:00,5,Crypto review,Excellent.,S10ner,10.124,True,False,False,True,crypto,,
13952553033,app_store,gb,2026-04-12T22:38:39-07:00,5,Best digital banking,"By far the most quick, easy, convenient digital banking app from all the major UK banks. International transfers quick, easy and cheaper than traditional high street banks. My favourite money app.",IstanbulRiyadhManchester,10.124,False,False,True,True,,,international transfers
13950538636,app_store,gb,2026-04-12T08:47:46-07:00,5,Recent transfer,"Greatest app ever , recent transfer form another provider Wise, best decision ever , thanks a lot",mik3yrock,10.124,False,False,True,True,,,wise
13949666716,app_store,gb,2026-04-12T03:51:22-07:00,4,Currency conversion,Works well but additional fees on weekends and limits on conversion per month,FilterInTurn,10.124,False,False,True,True,,,currency conversion
13949344691,app_store,gb,2026-04-12T01:27:56-07:00,5,Easy and good rewards,Revolut is so easy to use and especially abroad.  The rewards are good also used airport lounge access several times.  Customer service efficient and easier than trying to ring the big banks.,Sara Revolut,10.124,False,True,False,True,,customer service,
13947576611,app_store,gb,2026-04-11T12:31:04-07:00,5,Excellent customer service,Been using this bank for over four years now for my daily expenses and savings. Very good customer service. They can easily be reached through the app chat. Would recommend.,Liltendy,10.124,False,True,False,True,,customer service,
